node-1,node-2,node-3,node-4,node-5,node-6,node-7,node-8,node-9,node-10,node-11,node-12,node-13,node-14,node-15,node-16,node-17,node-18,node-19,node-20,node-21,node-22,node-23,node-24,node-25,node-26,node-27,node-28,node-29,node-30,node-31,node-32,node-33,node-34,node-35,node-36,node-37,node-38,node-39,node-40,node-41,node-42,node-43,node-44,node-45,node-46,node-47,node-48,node-49,node-50,
,,120651776,126164992,129560576,96788480,105492480,129449984,108081152,127401984,126373888,130727936,,,,126730240,130498560,108113920,105992192,,139575296,107556864,127393792,108273664,97718272,86802432,112349184,111124480,117178368,132349952,114397184,114532352,101670912,143159296,106147840,118616064,114716672,104595456,111312896,107638784,110309376,120528896,109322240,109146112,125509632,116248576,102141952,111370240,117334016,116064256,
133316608,124813312,105095168,103804928,100868096,106864640,96595968,103673856,128528384,118878208,106209280,132628480,125706240,130494464,129560576,135102464,130576384,128950272,124530688,102735872,127864832,108396544,124952576,132657152,130891776,106323968,126439424,102567936,135438336,100311040,102621184,94035968,97996800,130875392,100229120,108781568,121376768,144633856,98037760,136740864,105082880,130633728,136970240,94199808,106242048,103399424,104652800,105836544,126935040,106422272,
106979328,107618304,102707200,105684992,93118464,143704064,107745280,121290752,99893248,126726144,122159104,126050304,105668608,114991104,127811584,109584384,137379840,105803776,133947392,106905600,101883904,108552192,126865408,130256896,112791552,127627264,94322688,103387136,105762816,113881088,112078848,115339264,132284416,125448192,127844352,140845056,125378560,113881088,130277376,130588672,104464384,103104512,114970624,108015616,114503680,132825088,139808768,132825088,111751168,105750528,
111521792,130039808,126836736,107966464,126390272,110714880,125775872,131620864,95338496,129277952,128888832,92872704,131915776,102080512,129544192,113074176,108138496,130461696,138596352,114794496,123305984,105684992,125255680,129822720,105848832,95272960,132980736,129163264,129232896,112242688,103923712,139587584,134619136,106143744,137867264,105582592,116117504,129593344,129990656,104030208,128958464,142999552,105754624,103047168,101818368,108191744,115576832,126398464,108523520,100974592,
139419648,113086464,107835392,127782912,110710784,127754240,112943104,107724800,131551232,104398848,131051520,130596864,104083456,104677376,104132608,90693632,112951296,103112704,120709120,122208256,113348608,129982464,107536384,128360448,89985024,108347392,130699264,112492544,103788544,105218048,110034944,131596288,112877568,104042496,105824256,126877696,97488896,108142592,111947776,112156672,118784000,121040896,142061568,112726016,119050240,103907328,141074432,120049664,119107584,120492032,
123420672,128557056,121708544,118611968,97042432,106881024,106278912,111284224,107819008,108466176,100741120,128499712,128638976,101986304,104468480,138690560,130551808,129892352,104910848,130482176,126574592,105738240,137138176,132861952,108761088,130527232,109563904,128245760,130711552,101572608,109461504,129474560,128491520,104824832,127700992,110186496,103223296,115544064,112209920,128421888,100425728,128815104,108642304,114663424,113696768,145432576,104583168,102211584,138227712,105484288,
112140288,126521344,125165568,121524224,130367488,125509632,106758144,136425472,126337024,109465600,120627200,129175552,104828928,105865216,130379776,129396736,97673216,109535232,109875200,106450944,120369152,134483968,128991232,142376960,131502080,106483712,96669696,112222208,105111552,142209024,126406656,131018752,116011008,104460288,108912640,126726144,135028736,107384832,126963712,129990656,112418816,147542016,111194112,110923776,114364416,114503680,108404736,118468608,143835136,112660480,
130433024,137973760,126414848,103669760,114954240,101363712,129765376,103268352,103366656,129744896,104075264,104873984,126636032,112160768,128610304,110817280,120045568,130637824,103198720,113655808,112201728,108036096,94777344,90173440,112074752,106074112,131702784,129200128,126644224,124911616,128086016,121126912,130514944,108580864,105893888,98738176,121360384,112361472,132583424,102236160,130068480,103116800,142704640,142057472,103206912,146497536,132988928,104583168,104366080,128659456,
132268032,130764800,111636480,126963712,129720320,129605632,131588096,122257408,127332352,142946304,125603840,121823232,101355520,129486848,132550656,113430528,130506752,125902848,127795200,96731136,128057344,104353792,103317504,130420736,138092544,97951744,112496640,112324608,107130880,129789952,129478656,108109824,106024960,108998656,120758272,114274304,99180544,140193792,125902848,106553344,100950016,130891776,116768768,130445312,130519040,107565056,111865856,106532864,105553920,106172416,
125595648,103727104,122466304,131112960,101642240,108515328,114999296,120774656,106741760,127365120,120205312,94904320,126504960,93048832,105807872,111611904,120692736,94547968,110112768,109334528,131858432,130097152,130711552,128208896,106737664,108634112,121819136,114343936,128925696,108130304,121602048,134270976,117563392,111988736,134193152,109948928,132960256,100573184,110039040,123133952,106692608,97820672,115032064,108310528,132583424,105181184,119869440,131780608,140685312,114290688,
