node-1,node-2,node-3,node-4,node-5,node-6,node-7,node-8,node-9,node-10,node-11,node-12,gadget
12257,10847,13733,12419,12425,,13334,,,,14773,,89809
11886,13064,12586,13071,12331,13185,13653,12669,11981,13238,14165,13584,126271
11552,13798,11126,13222,13651,13650,12376,14461,14000,15654,12862,14173,116222
11951,13985,13064,12725,13194,13837,13523,13073,12262,12311,12660,12694,108358
11522,13454,12931,12898,12358,12573,11834,13037,12432,13018,12718,13766,104331
11678,11653,12620,12544,13096,12773,10191,13430,12144,12599,12521,13027,124932
11942,12033,14133,13171,12494,12034,12310,12414,13274,12774,13640,12394,106169
14150,13025,12585,12751,13384,14120,13829,14509,12843,13227,13032,12251,139955
14299,13426,12948,12232,11570,12882,12766,10991,13167,12991,11878,12498,101860
13113,12889,13868,12418,12569,15162,12185,14302,13425,13745,12794,13419,110568
11827,11947,13486,13623,13567,12652,13583,13081,12054,13775,13825,12688,101732
12383,12134,13681,13756,13319,13753,12597,12901,12765,12534,12507,12628,102814
12568,12478,13965,14510,13123,12894,13468,12775,13292,13857,12782,13373,103008
12114,12742,12383,12898,12540,13177,12242,12782,12419,12851,13929,14164,104238
13068,12940,11753,12202,12885,13295,11986,12266,12727,13369,13131,12396,104378
13295,13096,12113,13119,13456,12741,11547,12584,12737,13532,13631,14236,97549
11736,14042,12398,11875,12957,13283,12547,13024,13227,12747,14170,11794,104659
11906,12046,13113,12397,12940,11683,11289,13242,13262,12696,11792,13198,141153
11308,13254,12545,13650,12501,12621,14917,12067,14685,13116,11747,12497,103645
12389,11963,14344,11484,13458,13110,12724,12752,14356,13789,12548,13429,104367
11783,11680,13845,12355,13765,12666,12506,12854,12533,13236,13511,12981,100615
12402,13585,12574,12901,12293,12084,14081,12573,12708,13174,12231,11751,118200
12377,12792,13605,12471,13334,11738,12743,14156,13549,15135,13281,13476,101714
13009,12768,12645,12846,12852,13256,13689,12253,12622,12294,14144,13145,102718
13599,11046,12904,11872,12073,12916,14107,14053,12301,12135,12466,12391,98329
11272,11389,12460,13047,13057,12884,13317,12756,12860,12409,14538,13783,106049
11995,13280,12210,12166,13585,12294,12283,11316,12305,12259,12622,13272,105647
12083,11607,11262,13061,12297,12496,13475,12900,13259,12626,13504,13147,100160
11315,12317,12352,12772,12994,12569,13626,11567,13125,12434,13467,12972,99835
11197,11956,12653,13179,12460,12288,11997,12678,12680,13343,12254,12373,103030
