node-1,node-2,node-3,node-4,node-5,node-6,node-7,node-8,node-9,node-10,node-11,node-12,node-13,node-14,node-15,node-16,node-17,node-18,node-19,node-20,node-21,node-22,node-23,node-24,node-25,
143953920,129748992,100499456,108736512,99053568,109486080,127131648,104071168,103698432,126775296,135880704,135286784,133742592,104919040,131764224,133902336,102518784,99368960,129536000,135774208,103227392,99299328,92762112,133332992,102006784,
123453440,91566080,128282624,107556864,104927232,100823040,128765952,127528960,102887424,134152192,129646592,103546880,133337088,125681664,132792320,107872256,102817792,103489536,122359808,103534592,103473152,102178816,95838208,110186496,112726016,
129871872,104022016,101756928,126029824,100950016,98373632,105500672,94744576,103350272,129110016,137551872,107769856,124555264,100741120,120176640,132837376,105160704,110379008,99872768,132526080,99827712,102273024,103665664,100560896,128602112,
134393856,103784448,104308736,108998656,133287936,99700736,93773824,134746112,105975808,133050368,117133312,103473152,126050304,103661568,117276672,131633152,103948288,134467584,134037504,105385984,106721280,126664704,98959360,102772736,106115072,
101793792,103841792,127127552,133545984,105996288,132755456,150097920,117760000,97968128,125239296,119705600,108937216,101978112,135872512,99516416,107716608,104849408,110399488,95006720,104550400,110493696,129130496,132489216,101732352,134258688,
126566400,141291520,133804032,118845440,117637120,104828928,106475520,124514304,103276544,122515456,108716032,102014976,134438912,93343744,117981184,132825088,163459072,134307840,121667584,102789120,128376832,105807872,134152192,98332672,104714240,
127315968,133881856,103583744,114925568,104366080,137154560,101470208,116277248,102404096,120377344,129773568,115724288,132280320,127852544,105209856,103391232,130895872,98177024,104792064,132689920,126103552,105422848,116092928,91713536,103325696,
102219776,107081728,128040960,122941440,92798976,99688448,125296640,132513792,133521408,104296448,107298816,126271488,110022656,128077824,112726016,133533696,138100736,126406656,124080128,132345856,132915200,108396544,104431616,125784064,104808448,
105254912,105463808,137089024,122454016,102051840,120520704,103497728,94359552,102023168,99840000,104525824,96985088,122241024,104828928,134696960,112640000,100196352,98230272,132583424,108269568,132354048,100741120,133623808,101756928,134582272,
105975808,125579264,96882688,132874240,110436352,105799680,126050304,121712640,132513792,119619584,102539264,108056576,102633472,102703104,126476288,133828608,95461376,105701376,135585792,100163584,107180032,127774720,133062656,98820096,98226176,
104267776,103587840,124665856,126468096,132677632,118140928,126341120,133582848,109993984,114802688,130469888,98131968,110272512,135053312,102178816,107982848,125038592,94097408,100589568,112844800,133459968,122654720,102154240,101044224,141549568,
102977536,92614656,107368448,103567360,101404672,129011712,101646336,104009728,124092416,135274496,106598400,134733824,113360896,126365696,103395328,121368576,126668800,102596608,101756928,99241984,118779904,100638720,128307200,100057088,102752256,
104632320,102014976,133197824,101744640,132214784,104787968,119230464,124395520,96645120,134283264,123449344,95109120,94494720,102252544,105054208,100843520,99950592,134406144,103182336,135077888,100229120,111783936,104120320,132362240,126480384,
131170304,100827136,94765056,103608320,138637312,109371392,110665728,91496448,137281536,115863552,100364288,124112896,136974336,105938944,133046272,117121024,103677952,117084160,131887104,123117568,101769216,104026112,101974016,134008832,103157760,
104996864,100347904,104271872,99213312,137498624,114638848,102137856,133521408,122376192,127803392,133283840,103657472,101249024,105451520,133046272,111661056,122679296,119496704,124661760,103071744,104562688,114839552,110948352,121360384,102961152,
100511744,126111744,103456768,119902208,103772160,133099520,126418944,103583744,135401472,131596288,105926656,101847040,93929472,103329792,101179392,131989504,114003968,103309312,98009088,115781632,108761088,114372608,123412480,105189376,132485120,
136945664,117002240,103915520,125796352,104427520,128151552,103837696,99745792,103829504,102449152,101539840,104632320,99966976,126468096,98758656,105844736,99696640,103780352,121638912,126214144,122408960,137191424,134594560,109830144,104206336,
135475200,115650560,126025728,109555712,133312512,106156032,133054464,133636096,130293760,127778816,109821952,101875712,133754880,91467776,128536576,99053568,103788544,134418432,101240832,101392384,106344448,101408768,132182016,103927808,126652416,
107065344,106078208,132800512,124944384,107339776,102387712,139202560,133451776,102649856,102731776,132968448,103489536,107089920,128032768,133296128,102023168,100466688,99930112,101445632,103047168,97234944,107425792,105947136,102096896,130793472,
106373120,115245056,102277120,101302272,101724160,92762112,108294144,98062336,99946496,133529600,106856448,99749888,98742272,100311040,105005056,94490624,132907008,108212224,106827776,102047744,122609664,102227968,92844032,133128192,118177792,
100790272,104820736,131948544,133550080,104591360,132038656,93241344,118620160,100581376,134402048,138366976,133001216,132907008,128815104,99221504,110489600,102707200,127344640,125132800,132755456,106184704,135622656,105369600,114733056,127184896,
128688128,136073216,118140928,132055040,96899072,103411712,128217088,133840896,103653376,128299008,93519872,101101568,126558208,134307840,114524160,135012352,105590784,133332992,136245248,103251968,132833280,133038080,104402944,95719424,103596032,
118448128,116236288,99045376,118767616,122380288,101212160,133242880,102191104,123760640,109105152,113270784,126033920,132562944,133890048,104914944,101896192,101457920,125825024,102985728,116695040,108986368,125947904,125747200,103800832,101769216,
102060032,134045696,127012864,100663296,133980160,102850560,126423040,132235264,125997056,114757632,102846464,101744640,137035776,106029056,133709824,104144896,115425280,107134976,133677056,133877760,95776768,135221248,101281792,100306944,127922176,
123719680,105582592,106344448,95813632,104632320,100220928,118603776,133988352,104333312,134238208,103686144,131641344,132542464,134959104,102227968,107479040,105848832,133853184,104079360,137986048,120131584,134483968,126283776,126349312,93462528,
110055424,97636352,101134336,108646400,102379520,119447552,99835904,133083136,103575552,103624704,101502976,107376640,106610688,124985344,132866048,100196352,133840896,147202048,99987456,134656000,115748864,116125696,101076992,99123200,128274432,
126541824,103890944,115277824,113123328,112353280,123961344,104042496,96997376,150872064,103780352,133185536,107909120,88014848,104189952,96657408,99840000,133398528,133341184,104607744,133255168,128593920,107495424,120180736,110813184,100192256,
111833088,101896192,130322432,105115648,120913920,105750528,99020800,108834816,98881536,101412864,132059136,133353472,100864000,122515456,132829184,127504384,120029184,98471936,98844672,125693952,110944256,127451136,102068224,137940992,95621120,
100270080,104824832,133304320,131231744,133103616,101720064,113090560,120266752,130191360,118489088,122134528,104083456,110141440,133873664,103366656,106192896,110477312,127709184,98189312,100159488,126283776,126644224,103018496,133787648,104603648,
124579840,127508480,107282432,92868608,108654592,101814272,102006784,123740160,103473152,99401728,102006784,112377856,109805568,134119424,159588352,131813376,108929024,104202240,131706880,107905024,100831232,138432512,104341504,102883328,96083968,
