node-1,node-2,node-3,node-4,node-5,node-6,node-7,node-8,node-9,node-10,node-11,node-12,node-13,node-14,node-15,node-16,node-17,node-18,node-19,node-20,node-21,node-22,node-23,node-24,node-25,node-26,node-27,node-28,node-29,node-30,node-31,node-32,node-33,node-34,node-35,node-36,node-37,node-38,node-39,node-40,node-41,node-42,node-43,node-44,node-45,node-46,node-47,node-48,node-49,node-50,gadget
13489,13973,11967,13298,13317,11952,11814,13586,12445,12989,13014,12578,12251,11974,11523,13177,13068,14004,13569,12920,11542,13051,12857,13353,12252,13400,13158,12254,13207,12768,12771,12003,12157,13351,12609,12770,13188,12435,12317,13928,12904,14123,12369,11961,13905,11946,13227,13303,13250,14158,302247
12081,12022,12476,14149,12136,13155,13270,12490,12506,13058,13303,12148,13545,13187,12232,12700,12086,12819,13168,12445,12453,13902,13164,14243,12698,13555,13596,12237,13460,13583,13244,12332,13172,13526,15660,13607,14021,12974,14021,14317,13784,13404,13791,13202,13239,13689,13616,11917,12871,14181,200297
11127,14006,12515,12606,12145,12545,13508,14165,12947,13465,13077,13518,13247,13475,12987,12196,12557,13388,13279,13779,11812,13688,14043,13459,14518,13874,12777,13929,13105,12956,14325,12724,12300,13375,11564,12368,13322,13238,12573,12279,13128,13819,12519,12244,12581,13655,13941,13481,11740,13609,205094
12945,12254,13026,11973,13971,11602,13405,14229,12112,13960,13459,13404,13723,11558,13821,13326,12670,12345,13918,13368,13144,11909,11950,12553,13652,12600,12747,13618,13994,13501,15054,12847,12635,12536,12219,11991,13438,12967,13008,12783,13033,13046,12867,13622,12157,12124,13382,12639,13127,14143,178287
14164,12234,11827,13141,12525,12648,14099,15032,12803,13993,14149,12697,13417,13081,12066,13155,15315,13097,13684,12032,13049,13913,12748,12577,12820,13211,13707,13345,13394,13184,12950,11970,13447,12119,12365,12868,11953,13289,13139,13371,14302,14693,13727,12842,12890,12469,12859,12065,12348,14840,190382
10730,12906,12959,12739,13073,11915,13234,13734,12418,12875,12628,13134,12990,13099,13896,11486,11085,11440,13459,12977,13038,14158,13366,11875,14140,12799,13893,12672,15159,12372,13189,13044,13319,13318,12489,12220,13900,15744,13800,12671,13044,13460,14142,13685,14206,15260,13027,13734,13346,14398,200180
10982,14010,12895,12550,12977,12634,12386,12790,13501,14503,12900,13627,13121,12974,12658,13563,12093,12802,12049,13260,14481,13782,13555,12719,12230,13038,12144,14042,13708,13862,12416,14291,13140,13320,13474,12575,13532,13328,13278,13237,13210,13042,13745,13309,12524,12942,13538,12642,14590,13064,180550
12714,11972,12636,11731,12620,12857,12590,12880,13933,13060,11736,13350,13575,13376,12245,13783,11572,12816,14418,13939,12516,13345,13417,12205,13834,13103,13752,14080,13103,12843,12720,13714,13098,12411,12731,14439,13318,13438,14514,12954,13439,12450,12268,13497,13865,13589,11988,12418,12347,12791,182107
11948,11441,13773,12459,13059,11391,13127,12160,14112,12434,12427,12504,12874,13271,12988,13218,12822,12549,13812,11693,12742,12872,13458,14268,13157,13744,13709,12860,11888,12446,14127,13405,14580,13846,14093,12696,13728,12931,12629,13880,13065,11827,12920,12821,12844,13451,13972,14935,14486,12700,193766
12794,12041,12305,12740,12902,13003,13314,12767,12136,12706,12866,13533,13998,12647,13111,13325,12033,13000,11459,13282,12938,11853,12660,12343,11963,12867,13435,12737,13939,12407,13488,12537,12998,13453,13053,12099,14111,12707,12706,13026,12974,12645,12296,12053,11978,13511,13121,12597,12983,12872,179207
11180,11636,14224,12600,13799,13676,13418,12434,13234,12615,11975,13925,13710,12293,12107,12953,13143,13943,13177,14319,11983,13532,12117,12435,13101,14202,13936,12243,12563,13652,12964,14366,12787,13186,12118,13411,12968,15213,13724,14376,13437,11957,12211,12010,12539,13425,12829,13273,13733,13382,203010
13231,11756,12193,13155,14547,12760,14178,13514,11935,12807,12485,12398,12475,12042,12279,13452,13508,13084,13177,12589,12684,12204,12994,12799,12308,15413,13768,13784,13353,13415,14334,13480,13548,14165,12056,13995,13283,13351,13171,12930,12412,13287,13319,11915,13506,12835,12574,13769,13339,14642,179335
