node-1,node-2,node-3,node-4,node-5,node-6,node-7,node-8,node-9,node-10,node-11,node-12,
812807,774404,762136,688114,711790,785131,821508,817924,794806,808843,776107,875276,
627587,637638,726620,751728,695386,776416,682263,671093,743665,761270,810833,817252,
621913,614354,711910,699434,721736,709254,728509,664243,774698,732677,787724,780683,
683944,704868,751011,760191,688010,796327,798074,733718,796468,785655,777116,829730,
686253,637369,717580,680328,762886,718834,706808,720966,788014,767698,838023,790103,
629650,633406,658679,712532,743015,725813,700915,764807,762967,770423,775853,756525,
661276,674452,638174,718712,718298,694461,735511,711396,760610,756164,822604,763354,
637120,668500,739346,737061,689652,718504,747286,660876,777836,774322,850252,794381,
629137,630499,698163,692070,726405,730300,687624,759828,808787,808195,811639,773405,
655378,621324,739120,671534,731678,739989,715733,783717,764713,766825,794928,760855,
638784,612113,719403,718306,727779,712155,756941,730341,789482,742862,787780,791692,
632820,604041,701480,710872,753581,693728,724063,699700,788894,837732,806314,808475,
622623,642279,731710,746648,726354,739909,741823,782780,835944,771840,818499,803862,
744059,703629,729601,717059,744105,773946,830058,800732,819026,782155,777354,837393,
655736,642834,770657,745070,688902,712961,753126,805769,836306,756984,801703,758691,
667160,650269,752649,738400,736673,713810,710964,714291,798713,757895,777410,772477,
634800,624035,639165,712413,751011,707611,750847,703780,836220,794778,781278,811161,
622988,625968,728288,733984,729090,733060,758664,704167,813214,844983,809871,752438,
606624,605985,759226,736031,725244,739538,742427,716983,763528,794901,776608,755698,
624197,626598,666434,695831,693508,745700,712861,715787,824619,777615,805237,788288,
634827,622211,720174,686200,730257,719222,709042,765252,771098,768228,797939,763837,
648871,673013,663593,721630,753368,722678,706635,708108,741872,754961,809568,751842,
678911,612620,738265,702594,733870,744037,685177,760028,778045,785162,821544,793315,
614322,620803,650707,699078,693506,745781,688495,690673,765765,771394,810566,794442,
655039,632936,636021,738178,731508,725096,720012,726667,776275,820519,798790,796912,
643568,642136,698801,703859,684190,716638,752023,732526,761794,752434,774339,774940,
607930,650097,627836,689712,745683,728388,754384,697279,824412,746989,776175,756280,
622889,730309,697063,728433,703468,673638,692597,791848,801088,755358,768549,743659,
637592,591657,735312,682831,720208,753197,704224,732440,821974,744048,754434,761980,
617152,631557,704588,762040,681394,765646,688554,741247,822563,790054,853439,748113,
