node-1,node-2,node-3,node-4,node-5,node-6,node-7,node-8,node-9,node-10,node-11,node-12,
1719347,1658433,1686873,1600997,1708519,1439902,1813823,1484014,1494515,1514872,1793999,1525408,
1473166,1495626,1432972,1504910,1568826,1678045,1502229,1462539,1585012,1631459,1693091,1714765,
1479264,1486764,1505059,1487199,1604615,1524474,1604034,1487562,1658128,1696383,1550268,1664048,
1480640,1520250,1545134,1559752,1600959,1693758,1630474,1560180,1713297,1581302,1561984,1570730,
1481120,1450131,1492060,1414870,1552430,1455986,1533548,1572833,1518548,1547150,1611155,1647440,
1445436,1484114,1561206,1532280,1554752,1499935,1509079,1589588,1505918,1573255,1658956,1616323,
1444501,1440264,1464797,1525109,1512879,1419255,1540405,1565276,1546787,1533485,1694216,1626146,
1489264,1548774,1596548,1549066,1536894,1626235,1582042,1494182,1621978,1588148,1636915,1633430,
1404522,1382169,1430513,1404496,1439742,1592406,1495613,1479738,1603488,1682899,1615056,1637608,
1477212,1370731,1472027,1384534,1499407,1585682,1539436,1609070,1518375,1514437,1655399,1570419,
1465081,1311061,1471304,1542962,1444355,1446124,1590223,1598364,1495946,1510870,1587621,1627414,
1356482,1334751,1576632,1496593,1556218,1495500,1667329,1562813,1520883,1606050,1670731,1574795,
1435164,1496953,1568350,1510173,1526515,1651681,1583943,1572500,1587359,1646165,1677128,1711291,
1491547,1496417,1541338,1456587,1523026,1636786,1649421,1581077,1536342,1609574,1656216,1600410,
1486019,1514744,1587211,1489078,1467562,1594225,1629290,1614355,1576864,1610604,1577528,1545967,
1463358,1461206,1573196,1474681,1519784,1527748,1556198,1561153,1543083,1543408,1630732,1650635,
1414182,1381388,1450834,1500236,1491790,1454144,1558190,1578552,1533808,1525033,1673360,1677543,
1418314,1531293,1552306,1599978,1570581,1641940,1690775,1599385,1625623,1715379,1674165,1541959,
1401373,1393302,1500997,1520075,1496749,1549855,1588525,1573866,1558135,1593139,1586699,1556481,
1383427,1411089,1596378,1425551,1502382,1516625,1524230,1493091,1590523,1588331,1681884,1568867,
1435361,1404633,1470767,1433642,1517163,1449574,1539307,1662328,1501170,1474247,1649699,1610823,
1460230,1530709,1442501,1491669,1485712,1468795,1540900,1590579,1463541,1574408,1624464,1642992,
1465886,1464089,1571987,1436760,1552087,1688390,1569455,1511464,1517745,1684422,1658092,1602879,
1360698,1432903,1534868,1523841,1452591,1477353,1602132,1531496,1594541,1555903,1681845,1641960,
1471805,1354358,1543634,1471144,1531081,1471544,1621486,1579672,1496919,1620382,1577899,1586523,
1436179,1425657,1557543,1499120,1423034,1547899,1624943,1613318,1518036,1475309,1640565,1650495,
1322637,1378734,1352650,1431682,1546496,1518774,1503040,1546867,1555454,1495606,1559747,1653240,
1428909,1488038,1438279,1540938,1484382,1512835,1580437,1575890,1548722,1608878,1679977,1588152,
1415340,1394194,1547331,1383151,1473508,1536160,1503241,1571259,1528019,1506597,1605707,1658100,
1364986,1420346,1444846,1585933,1387444,1596323,1509150,1562536,1565731,1578111,1616565,1516035,
