node-1,node-2,node-3,node-4,node-5,node-6,node-7,node-8,node-9,node-10,node-11,node-12,node-13,node-14,node-15,node-16,node-17,node-18,node-19,node-20,node-21,node-22,node-23,node-24,node-25,node-26,node-27,node-28,node-29,node-30,node-31,node-32,node-33,node-34,node-35,node-36,node-37,node-38,node-39,node-40,node-41,node-42,node-43,node-44,node-45,node-46,node-47,node-48,node-49,node-50,
701197,703692,733585,790252,773515,802394,798543,839011,790545,851516,881949,810552,877356,893016,929688,974121,907013,927811,1046673,1046405,983145,1013137,992854,1062736,1134479,1108592,1085458,1106448,1044255,1146373,1175634,1173001,1191542,1149333,1261098,1255044,1265266,1194310,1161570,1205455,1113016,1181789,1229882,1263072,1185003,1325913,1350498,1350334,1325624,1343116,
636230,684179,702100,769295,722027,724788,774722,775258,780235,791022,780007,736148,793059,815581,853191,831129,814062,935204,1009445,937155,935569,949396,927000,1046923,993103,1033107,1026170,1025541,1039516,1111894,1112101,1091729,1073944,1092841,1234891,1212528,1216148,1173972,1200848,1257348,1290975,1193395,1310004,1286118,1306356,1375886,1360287,1305974,1302848,1427196,
706287,645486,665326,740744,723342,659961,712008,760068,758487,809657,769819,769159,815868,857751,825666,860630,826738,894091,947654,969457,946462,986820,901054,923252,1094351,1087496,1010300,1058856,1096010,1073943,1075907,1101583,1074153,1093516,1173057,1165920,1189928,1128686,1132388,1190422,1268589,1241020,1256566,1277381,1332647,1310590,1322645,1299051,1345141,1364237,
661043,739384,723995,718480,726306,728180,703501,750995,777007,757425,760804,791027,767055,856939,820549,860254,863131,896616,986459,944211,929384,964702,1015856,1011101,1047652,1007612,986902,1032069,1077101,1107916,1119241,1092853,1077402,1099571,1185994,1222831,1194711,1133826,1159877,1269795,1215278,1183282,1233270,1260084,1327871,1370485,1358381,1302798,1374554,1426128,
637700,728999,734902,700132,721132,688468,739307,692702,776162,786649,769209,854605,893520,852764,886880,846718,874727,863245,931526,931902,940862,982100,955762,1000130,1040845,1041595,960551,1031568,1095681,1092079,1070929,1061567,1075277,1171339,1147530,1206431,1207692,1172530,1226030,1188191,1188312,1222477,1238074,1323565,1323619,1346192,1330225,1329616,1308068,1413007,
634041,600129,684844,684288,715974,696283,750892,781093,802799,823400,776533,743426,868235,855052,905371,839780,839553,893521,968402,914233,962326,955918,914682,1000411,1029804,1017019,1071219,1017269,1055041,1122692,1099561,1057693,1116734,1194819,1172867,1186900,1191987,1173006,1173354,1095822,1242928,1215354,1274770,1241082,1301392,1320414,1308481,1363058,1287649,1395709,
653961,653685,687992,663069,735305,680114,709794,826169,759217,797498,775806,773360,853760,846535,856140,845934,891468,897188,965786,967544,932556,968991,1024428,980054,1035580,1016695,1013572,1027591,1108348,1054367,1074764,1066894,1093426,1220266,1136169,1179269,1156829,1209090,1149848,1139828,1250277,1197588,1278670,1281574,1319092,1339285,1334804,1333448,1308101,1377352,
612766,662666,702108,740473,713791,703443,697803,793223,783419,761442,790653,766240,910584,866544,869271,891729,854627,822749,1006720,936247,961161,953631,989642,1012645,1098396,1002221,978504,1024446,1142004,1091486,1121436,1077677,1066231,1170218,1167738,1247368,1220391,1202971,1204677,1268549,1218850,1235206,1217023,1296335,1328733,1340537,1347717,1335557,1342422,1471497,
620001,598154,697878,711943,695185,675321,712051,770944,791586,846256,757318,762781,830131,813126,811546,855274,836395,852978,945716,944716,975739,947914,954863,976559,1078388,1036796,1008162,1003597,1101590,1070905,1050145,1122555,1063952,1187752,1187162,1198388,1216263,1223152,1170597,1257299,1264699,1200018,1236582,1205799,1320100,1337038,1329889,1344281,1374225,1420265,
640600,628635,731023,656975,719752,721371,714079,776732,790639,778624,765669,800698,796124,862004,848617,871915,857576,873509,986431,945558,941496,923259,902013,1034377,1033023,1043172,1001908,1010067,977824,1035899,1044637,1070657,1046139,1115424,1138684,1214967,1147856,1188390,1170929,1255736,1281412,1235110,1268352,1288224,1282283,1368041,1342872,1285882,1361366,1319216,
