node-1,node-2,node-3,node-4,node-5,node-6,node-7,node-8,node-9,node-10,node-11,node-12,
122761216,102158336,139255808,108826624,106930176,122847232,103071744,124153856,106254336,120614912,103825408,132395008,
128602112,97685504,135294976,136097792,111865856,98631680,131162112,135421952,136253440,103325696,107393024,102342656,
119951360,89006080,100098048,108220416,96501760,135966720,106139648,131530752,104001536,110981120,131485696,101335040,
105644032,100417536,99880960,96878592,119504896,102387712,98275328,136671232,96718848,124129280,132149248,124002304,
96428032,96423936,131842048,135430144,98119680,135344128,125804544,102756352,124235776,100724736,133644288,97333248,
103923712,89423872,101093376,100794368,102789120,121184256,135589888,126509056,129908736,98729984,101797888,102379520,
100290560,95694848,135868416,103923712,104022016,134385664,129658880,104452096,101507072,119947264,98369536,104747008,
101855232,94814208,99442688,136777728,122884096,106250240,129777664,131944448,111677440,136208384,131653632,100757504,
128770048,130310144,130904064,129089536,137093120,102178816,137392128,133390336,98611200,97734656,117297152,106332160,
109228032,138117120,132599808,135241728,101957632,100880384,135626752,128655360,134914048,136163328,103804928,134582272,
108224512,129998848,135983104,94007296,133623808,135974912,91353088,102920192,121950208,105844736,100429824,99602432,
133660672,131158016,99209216,94855168,98897920,105701376,105426944,105455616,136265728,95649792,99160064,117444608,
106627072,93585408,98193408,93433856,103620608,99504128,99205120,107184128,132169728,103960576,104697856,95305728,
101629952,99659776,100827136,126812160,95911936,98766848,103354368,109633536,130727936,137388032,111521792,131559424,
106860544,100716544,99364864,128651264,101335040,100237312,99860480,102924288,131620864,109019136,133173248,132763648,
102072320,100626432,101470208,130007040,99016704,120705024,106680320,99627008,138465280,102903808,106459136,100569088,
132399104,131780608,135778304,99008512,131063808,136208384,119500800,103772160,135290880,127672320,97501184,99840000,
102072320,103567360,131489792,99864576,98643968,101470208,100294656,99270656,138465280,135368704,104456192,132857856,
101781504,132132864,133611520,98668544,115793920,130969600,136032256,104316928,137408512,136867840,124411904,134770688,
123781120,107253760,102776832,116416512,105439232,145653760,121376768,132599808,135057408,99164160,100945920,131899392,
105246720,138002432,134492160,123875328,101691392,131850240,96092160,100974592,138432512,130371584,98791424,99233792,
109387776,101912576,124252160,95514624,130686976,129806336,135995392,105394176,136990720,120475648,102768640,120754176,
100122624,106967040,100315136,136695808,101851136,97951744,99753984,132747264,129572864,101408768,95703040,131538944,
128729088,102629376,104583168,95707136,137080832,129716224,99196928,102899712,99250176,100007936,105504768,100077568,
97779712,127655936,105197568,113332224,100057088,136155136,106811392,95281152,136581120,128876544,130842624,131272704,
102985728,101490688,103948288,100925440,136380416,98136064,99389440,100458496,136642560,130011136,139182080,109817856,
133672960,120143872,135983104,136122368,137220096,102445056,136409088,116846592,135925760,132747264,106008576,120729600,
120758272,136667136,129474560,97099776,100937728,135208960,103784448,103743488,123678720,104951808,116838400,106500096,
101523456,116613120,100421632,128905216,130752512,130179072,131665920,100352000,130707456,136929280,137261056,121151488,
137596928,102494208,102522880,100913152,132083712,94728192,106283008,128061440,128155648,99778560,137125888,137060352,
