node-1,node-2,node-3,node-4,node-5,node-6,node-7,node-8,node-9,node-10,node-11,node-12,node-13,node-14,node-15,node-16,node-17,node-18,node-19,node-20,node-21,node-22,node-23,node-24,node-25,gadget
11754,12433,12363,11649,12448,13425,12111,12031,12856,14195,14155,13045,14964,13871,12548,13681,13147,12434,12339,13770,13242,12900,,13608,14709,313750
12603,11529,14099,12242,13001,14060,14732,12674,11777,13382,12835,13355,12482,14333,12964,13504,12852,12193,13821,12974,12795,13540,12907,14226,13115,328070
11049,12177,13046,12320,11392,12579,12376,14102,13972,11911,12792,13680,13399,13011,12672,13276,13007,13897,12871,13498,13184,13924,12318,14530,14417,325475
13711,11874,12655,13805,13151,12555,14040,12594,12712,12572,12975,12247,12622,12852,12437,12243,12359,13161,11768,13056,12387,13593,13610,12904,12216,276142
11366,12887,12689,13076,12085,12796,12301,13345,13070,13323,13298,12923,13572,14939,13310,13481,13768,13714,13170,12740,13347,14487,13402,12151,14096,329411
11787,12617,13015,13997,12429,13479,13098,14664,14607,13735,13835,14087,12928,13200,12881,14099,13217,15243,13567,13019,13586,13875,12882,12496,12406,331244
13254,11890,12523,15170,12759,12973,15194,11809,13450,13132,12448,13289,13805,14938,12240,13352,13386,12396,13305,13571,13541,12684,13041,13258,14021,317138
12475,12946,12471,12632,13485,13160,12297,12204,14076,11874,13588,13862,14071,13446,14655,11925,13093,13756,14421,15391,12873,13655,15043,13601,13879,334954
11646,12815,9399,13457,12563,11382,12513,13473,13407,13620,13253,12165,15496,12852,13779,12239,13968,14110,13766,13906,12503,12746,13304,13054,12069,306134
11734,11899,13366,13446,10995,13307,11694,11463,12868,12633,13235,14009,13427,12636,12210,13080,13120,13202,13129,12738,13499,11649,14197,13904,12746,251151
10960,12509,12745,11625,13437,12567,12305,14254,13625,12720,13346,13138,12772,13428,13410,12887,14476,12577,12781,13771,14151,12417,14106,12515,12362,321778
12504,11858,14049,13090,13658,11908,12511,13918,12793,14419,13376,12212,13840,13547,13958,12503,13538,12485,12880,12887,12808,14141,11925,14129,12888,275803
13485,11735,13371,14197,14417,13234,11893,13937,13661,13424,13685,13700,13516,13295,14569,13476,13070,14016,13703,13096,13954,12476,13189,12001,12459,229973
11785,14013,13203,12263,11942,12907,13652,12152,12709,13504,12919,14213,13906,14355,12470,14945,12000,13426,11902,12699,14013,13677,12551,13385,13432,221097
13246,12059,13386,12897,13269,12990,12544,13370,12724,13012,12838,12630,13978,13686,12704,12248,13961,13370,12945,12712,12973,15174,12613,11697,12384,319541
12578,12708,13038,11474,12696,12832,12957,13452,12122,11791,14663,12918,13784,14373,14045,13312,12646,12418,12010,13273,14134,13716,12214,12724,13707,324594
13269,11941,13492,12285,13910,13396,13598,11761,13199,13233,13337,14129,13849,14406,13452,13079,13023,14660,12629,12638,12737,12076,11997,13379,12406,281095
12827,11666,13278,12897,13126,12967,13647,12561,13731,13026,12706,12759,12710,12830,11530,12799,13353,12953,13039,13295,12932,13167,12928,12840,14989,324162
12039,13827,12181,12959,12837,12217,13486,13454,11616,12325,12738,12830,13963,12049,12892,12392,13231,13742,12400,12767,13250,12183,12076,12865,13312,314174
11059,14274,12799,13647,13042,14108,13558,12564,13374,12559,12986,13736,12314,12412,13657,12983,13429,13845,14018,12985,14044,13016,13634,13320,12499,329937
12627,11735,12630,12370,12983,13312,13774,12078,13819,13044,14518,12640,12887,13391,12183,13324,13795,13221,13239,12967,13293,14782,12651,12921,12823,325627
11124,11503,12917,12395,13472,13008,12686,12787,12821,13736,13548,13385,13139,13672,13119,13771,12933,12975,12803,12211,13976,12601,14399,12818,15325,327199
12931,11656,12754,13871,12152,12949,12410,14122,13871,13621,14151,15027,12367,13749,12932,12868,12379,12582,12548,14120,13046,11737,13560,13209,12547,327234
12478,15524,12537,13581,14197,11987,13850,14983,14050,12207,14269,10540,13307,13329,12961,12757,13929,13282,13508,12898,13412,13601,13201,13534,12835,332832
12453,12130,11660,12963,14063,12683,13575,12386,12419,12741,13083,13704,13545,12616,12898,12945,13458,13636,13925,12822,13400,12477,12912,13383,12350,276123
11828,12538,12858,13409,13055,12968,14627,13792,13811,13363,13672,13031,13671,14747,12762,14198,12626,14225,11983,12980,13266,13000,13526,12999,14554,333564
11304,12830,12434,12442,13731,13571,13397,13088,13556,14224,12520,13694,12692,14046,11721,12505,15157,13730,13556,12894,14137,13695,13166,12067,12334,328566
11085,13361,10780,12214,13498,12550,13690,13091,12315,11571,12772,12135,13054,12280,13946,12731,14334,13221,12440,13265,11806,13030,12875,12814,12383,317316
12868,12145,13484,13212,13442,13632,12296,12529,13195,13431,12722,14637,13214,13824,12549,12181,13416,12151,12231,13433,12900,12506,12910,13566,12841,325390
11905,13576,13080,13182,13141,11810,13158,12895,13236,14224,12950,12828,12875,13532,12915,12572,14363,11591,12877,12788,12444,13178,12493,11775,14161,323624
