node-1,node-2,gadget
12877,11599,24482
11476,14730,26212
12178,12945,25129
11716,12154,23876
11845,11920,23771
12022,15065,27093
14389,12106,26501
11909,12334,24249
12275,13704,25985
11900,13770,13773
11687,13199,24892
13097,11959,25062
13497,13514,27017
11017,13902,24925
11578,12183,23767
12537,13646,26189
13512,11912,25430
13274,11787,25067
13206,11474,24686
12940,11528,24474
12557,11355,23918
12668,11037,23711
13844,12623,26473
13736,13568,27310
12406,9861,22273
13508,13804,27318
11203,10762,21971
12859,12027,24892
11264,12842,24112
13604,12696,26306
