node-1,node-2,
103059456,130011136,
96403456,132608000,
156774400,106897408,
101167104,99368960,
102486016,100626432,
118849536,101523456,
104239104,100794368,
114122752,96108544,
137306112,103030784,
112177152,138264576,
108412928,137961472,
126869504,103002112,
137175040,100659200,
97656832,102817792,
94007296,104538112,
101830656,101269504,
132980736,106483712,
101728256,100032512,
105381888,92573696,
132030464,126189568,
120672256,92217344,
131645440,100876288,
98074624,107573248,
105799680,95809536,
132526080,103677952,
107159552,137179136,
112128000,99282944,
96354304,125906944,
101638144,100302848,
127823872,131637248,
